accuracy,precision,recall,f1,specificity,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed,model
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,38.0,38.190000000000005,14,Source5_ET_specificity
0.8620689655172413,0.8518518518518519,1.0,0.92,0.3333333333333333,0.6666666666666666,4,0,2.0,38.1,15,Source5_ET_accuracy
0.8620689655172413,0.8518518518518519,1.0,0.92,0.3333333333333333,0.6666666666666666,4,0,2.0,38.1,15,Source5_ET_balanced
0.8620689655172413,0.8518518518518519,1.0,0.92,0.3333333333333333,0.6666666666666666,4,0,2.0,38.1,15,Source5_ET_specificity
0.9310344827586207,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.8333333333333334,0.3333333333333333,1,1,21.150000000000002,38.095,16,Source5_ET_accuracy
0.9310344827586207,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.8333333333333334,0.3333333333333333,1,1,21.150000000000002,38.095,16,Source5_ET_balanced
0.9310344827586207,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.8333333333333334,0.3333333333333333,1,1,21.150000000000002,38.095,16,Source5_ET_specificity
1.0,1.0,1.0,1.0,1.0,0.0,0,0,4.599999999999994,38.2,17,Source5_ET_accuracy
1.0,1.0,1.0,1.0,1.0,0.0,0,0,4.599999999999994,38.2,17,Source5_ET_balanced
1.0,1.0,1.0,1.0,1.0,0.0,0,0,4.599999999999994,38.2,17,Source5_ET_specificity
0.9655172413793104,1.0,0.9565217391304348,0.9777777777777777,1.0,0.0,0,1,43.0,296.27999999999986,18,Source5_ET_accuracy
0.9655172413793104,1.0,0.9565217391304348,0.9777777777777777,1.0,0.0,0,1,43.0,296.27999999999986,18,Source5_ET_balanced
0.9655172413793104,1.0,0.9565217391304348,0.9777777777777777,1.0,0.0,0,1,43.0,296.27999999999986,18,Source5_ET_specificity
1.0,1.0,1.0,1.0,1.0,0.0,0,0,4.400000000000006,38.2,19,Source5_ET_accuracy
1.0,1.0,1.0,1.0,1.0,0.0,0,0,4.400000000000006,38.2,19,Source5_ET_balanced
1.0,1.0,1.0,1.0,1.0,0.0,0,0,4.400000000000006,38.2,19,Source5_ET_specificity
1.0,1.0,1.0,1.0,1.0,0.0,0,0,10.600000000000001,38.0,20,Source5_ET_accuracy
1.0,1.0,1.0,1.0,1.0,0.0,0,0,10.600000000000001,38.0,20,Source5_ET_balanced
1.0,1.0,1.0,1.0,1.0,0.0,0,0,10.600000000000001,38.0,20,Source5_ET_specificity
0.9310344827586207,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.8333333333333334,0.0,1,1,3.7499999999999005,38.195,21,Source5_ET_accuracy
0.9310344827586207,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.8333333333333334,0.0,1,1,3.7499999999999005,38.195,21,Source5_ET_balanced
0.9310344827586207,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.8333333333333334,0.0,1,1,3.7499999999999005,38.195,21,Source5_ET_specificity
0.9655172413793104,1.0,0.9565217391304348,0.9777777777777777,1.0,0.0,0,1,1.9500000000000028,38.0,22,Source5_ET_accuracy
0.9655172413793104,1.0,0.9565217391304348,0.9777777777777777,1.0,0.0,0,1,1.9500000000000028,38.0,22,Source5_ET_balanced
0.9655172413793104,1.0,0.9565217391304348,0.9777777777777777,1.0,0.0,0,1,1.9500000000000028,38.0,22,Source5_ET_specificity
1.0,1.0,1.0,1.0,1.0,0.0,0,0,4.899999999999707,38.190000000000005,23,Source5_ET_accuracy
1.0,1.0,1.0,1.0,1.0,0.0,0,0,4.899999999999707,38.190000000000005,23,Source5_ET_balanced
1.0,1.0,1.0,1.0,1.0,0.0,0,0,4.899999999999707,38.190000000000005,23,Source5_ET_specificity
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,4.400000000000006,38.2,24,Source5_ET_accuracy
0.9655172413793104,0.9583333333333334,1.0,0.9787234042553191,0.8333333333333334,0.3333333333333333,1,0,4.400000000000006,38.2,24,Source5_ET_balanced
