accuracy,precision,recall,f1,specificity,false_alarm_rate,miss_rate,mean_delay_s,median_delay_s,p95_delay_s,tp,tn,fp,fn,model,thresholds,hard_negative_fpr,mild_recall,seed,split
0.9130434782608695,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8333333333333334,0.16666666666666666,0.058823529411764705,102.5,90.0,140.0,16,5,1,1,PrefixConfirmET_100_150,100s:0.78;150s:0.46306,0.0,0.9411764705882353,88,val
0.8888888888888888,0.9130434782608695,0.9545454545454546,0.9333333333333333,0.6,0.4,0.045454545454545456,113.79523809523809,90.0,140.0,21,3,2,1,PrefixConfirmET_100_150,100s:0.78;150s:0.46306,0.5,0.9545454545454546,88,test
0.9130434782608695,1.0,0.8823529411764706,0.9375,1.0,0.0,0.11764705882352941,53.33333333333334,40.0,140.0,15,6,0,2,EarlyCascadeET_50_75_100_150_250_400,50s:0.752266;75s:0.88;100s:0.88;150s:0.71507;250s:0.88;400s:0.88,0.0,0.8823529411764706,88,val
0.8888888888888888,1.0,0.8636363636363636,0.926829268292683,1.0,0.0,0.13636363636363635,45.247368421052634,40.0,49.99999999999979,19,5,0,3,EarlyCascadeET_50_75_100_150_250_400,50s:0.752266;75s:0.88;100s:0.88;150s:0.71507;250s:0.88;400s:0.88,0.0,0.8636363636363636,88,test
0.92,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8333333333333334,0.16666666666666666,0.05263157894736842,107.0111111111111,90.0,140.0,18,5,1,1,PrefixConfirmET_100_150,100s:0.65;150s:0.492697,0.0,0.9473684210526315,91,val
0.9583333333333334,1.0,0.9473684210526315,0.972972972972973,1.0,0.0,0.05263157894736842,101.07777777777778,90.0,140.0,18,5,0,1,PrefixConfirmET_100_150,100s:0.65;150s:0.492697,0.0,0.9473684210526315,91,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,86.37894736842104,40.0,390.0,19,6,0,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.769663;75s:0.655422;100s:0.544631;150s:0.616529;250s:0.641388;400s:0.65,0.0,1.0,91,val
0.9583333333333334,1.0,0.9473684210526315,0.972972972972973,1.0,0.0,0.05263157894736842,46.91111111111111,40.0,76.24999999999989,18,5,0,1,EarlyCascadeET_50_75_100_150_250_400,50s:0.769663;75s:0.655422;100s:0.544631;150s:0.616529;250s:0.641388;400s:0.65,0.0,0.9473684210526315,91,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,111.07368421052632,90.1,140.0,19,6,0,0,PrefixConfirmET_100_150,100s:0.610513;150s:0.378821,0.0,1.0,97,val
0.9629629629629629,1.0,0.9523809523809523,0.975609756097561,1.0,0.0,0.047619047619047616,107.79,90.05,140.0,20,6,0,1,PrefixConfirmET_100_150,100s:0.610513;150s:0.378821,0.0,0.9523809523809523,97,test
1.0,1.0,1.0,1.0,1.0,0.0,0.0,63.70526315789474,40.0,164.99999999999946,19,6,0,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.55;100s:0.574088;150s:0.524125;250s:0.60411;400s:0.541245,0.0,1.0,97,val
0.9629629629629629,0.9545454545454546,1.0,0.9767441860465116,0.8333333333333334,0.16666666666666666,0.0,40.27619047619048,40.0,40.1,21,5,1,0,EarlyCascadeET_50_75_100_150_250_400,50s:0.55;75s:0.55;100s:0.574088;150s:0.524125;250s:0.60411;400s:0.541245,0.3333333333333333,1.0,97,test
0.8846153846153846,0.9473684210526315,0.9,0.9230769230769231,0.8333333333333334,0.16666666666666666,0.1,90.0,90.0,90.1,18,5,1,2,PrefixConfirmET_100_150,100s:0.46659;150s:0.65,0.3333333333333333,0.9,102,val
