seed,spec_floor,recall_floor,w_hgb,w_et,w_global_et,threshold_50s,threshold_75s,threshold_100s,threshold_150s,threshold_250s,threshold_400s,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_hard_negative_fpr,val_fp,val_fn,val_median_delay_s,val_p95_delay_s,model
131,0.94,0.84,0.75,0.0,0.25,0.85,0.85,0.92,0.92,0.85,0.85,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
145,0.94,0.84,0.75,0.0,0.25,0.85,0.78,0.85,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
160,0.94,0.84,0.25,0.0,0.75,0.85,0.78,0.65,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
170,0.94,0.84,0.0,0.0,1.0,0.85,0.78,0.65,0.65,0.65,0.65,0.9565217391304348,1.0,0.9444444444444444,1.0,0.9714285714285714,0.0,0.0,1.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
188,0.94,0.84,0.5,0.0,0.5,0.94,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
208,0.94,0.84,0.5,0.0,0.5,0.97,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
240,0.94,0.84,0.0,0.0,1.0,0.85,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
244,0.94,0.84,0.0,0.0,1.0,0.85,0.78,0.85,0.75,0.55,0.55,0.88,1.0,0.8421052631578947,1.0,0.9142857142857143,0.0,0.0,3.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
261,0.94,0.84,0.5,0.0,0.5,0.94,0.78,0.65,0.65,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
269,0.94,0.84,0.75,0.25,0.0,0.85,0.9,0.97,0.97,0.94,0.94,0.9565217391304348,1.0,0.9411764705882353,1.0,0.9696969696969697,0.0,0.0,1.0,0.0,0.0,HighSpecificityFamily_spec0.94_recall0.84
