accuracy,precision,recall,specificity,f1,hard_negative_fpr,fp,fn,median_delay_s,p95_delay_s,seed,variant,margin,base_margin,adder
0.9615384615384616,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,140.0,4,q90_alpha0.05_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.05_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.05_add0.005,0.005,0.0,0.005
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.05_add0.010,0.01,0.0,0.01
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.05_add0.020,0.02,0.0,0.02
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.05_add0.030,0.03,0.0,0.03
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,q95_alpha0.05_add0.050,0.05,0.0,0.05
0.9615384615384616,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,140.0,4,q95_alpha0.05_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.05_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.05_add0.005,0.005,0.0,0.005
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.05_add0.010,0.01,0.0,0.01
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.05_add0.020,0.02,0.0,0.02
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.05_add0.030,0.03,0.0,0.03
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,conformal_alpha0.05_add0.050,0.05,0.0,0.05
0.9615384615384616,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,140.0,4,conformal_alpha0.05_add0.080,0.08,0.0,0.08
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.05_add0.000,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.05_add0.005,0.005,0.0,0.005
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.05_add0.010,0.01,0.0,0.01
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.05_add0.020,0.02,0.0,0.02
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.05_add0.030,0.03,0.0,0.03
1.0,1.0,1.0,1.0,1.0,0.0,0,0,40.0,140.0,4,max_alpha0.05_add0.050,0.05,0.0,0.05
0.9615384615384616,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.0,140.0,4,max_alpha0.05_add0.080,0.08,0.0,0.08
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,q90_alpha0.20_add0.000,0.0,0.0,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,q90_alpha0.20_add0.005,0.005,0.0,0.005
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,q90_alpha0.20_add0.010,0.01,0.0,0.01
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,q90_alpha0.20_add0.020,0.02,0.0,0.02
0.9259259259259259,1.0,0.9047619047619048,1.0,0.9500000000000001,0.0,0,2,40.2,240.0,7,q90_alpha0.20_add0.030,0.03,0.0,0.03
0.8888888888888888,1.0,0.8571428571428571,1.0,0.923076923076923,0.0,0,3,40.150000000000006,160.01499999999987,7,q90_alpha0.20_add0.050,0.05,0.0,0.05
0.7777777777777778,1.0,0.7142857142857143,1.0,0.8333333333333333,0.0,0,6,65.0,174.1299999999999,7,q90_alpha0.20_add0.080,0.08,0.0,0.08
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,q95_alpha0.20_add0.000,0.0,0.0,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,q95_alpha0.20_add0.005,0.005,0.0,0.005
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,q95_alpha0.20_add0.010,0.01,0.0,0.01
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,q95_alpha0.20_add0.020,0.02,0.0,0.02
0.9259259259259259,1.0,0.9047619047619048,1.0,0.9500000000000001,0.0,0,2,40.2,240.0,7,q95_alpha0.20_add0.030,0.03,0.0,0.03
0.8888888888888888,1.0,0.8571428571428571,1.0,0.923076923076923,0.0,0,3,40.150000000000006,160.01499999999987,7,q95_alpha0.20_add0.050,0.05,0.0,0.05
0.7777777777777778,1.0,0.7142857142857143,1.0,0.8333333333333333,0.0,0,6,65.0,174.1299999999999,7,q95_alpha0.20_add0.080,0.08,0.0,0.08
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,conformal_alpha0.20_add0.000,0.0,0.0,0.0
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,conformal_alpha0.20_add0.005,0.005,0.0,0.005
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,conformal_alpha0.20_add0.010,0.01,0.0,0.01
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,conformal_alpha0.20_add0.020,0.02,0.0,0.02
0.9259259259259259,1.0,0.9047619047619048,1.0,0.9500000000000001,0.0,0,2,40.2,240.0,7,conformal_alpha0.20_add0.030,0.03,0.0,0.03
0.8888888888888888,1.0,0.8571428571428571,1.0,0.923076923076923,0.0,0,3,40.150000000000006,160.01499999999987,7,conformal_alpha0.20_add0.050,0.05,0.0,0.05
0.7777777777777778,1.0,0.7142857142857143,1.0,0.8333333333333333,0.0,0,6,65.0,174.1299999999999,7,conformal_alpha0.20_add0.080,0.08,0.0,0.08
0.9629629629629629,1.0,0.9523809523809523,1.0,0.975609756097561,0.0,0,1,40.25,240.0,7,max_alpha0.20_add0.000,0.0,0.0,0.0
