sample_id,file_name,binary,hard_negative,duplicate_group,test_appearances,errors,false_positives,false_negatives,fp_rate_when_tested,group_size
target100__大电池短路数据__10Ω_5,10Ω 5.xlsx,1,0,target_b1::10ω5,6,0,0,0,,1
target100__大电池短路数据__10Ω_6,10Ω 6.xlsx,1,0,target_b1::10ω6,5,0,0,0,,1
target100__大电池短路数据__10Ω_7,10Ω 7.xlsx,1,0,target_b1::10ω7,2,0,0,0,,1
target100__大电池短路数据__10Ω_8,10Ω 8.xlsx,1,0,target_b1::10ω8,7,0,0,0,,1
target100__大电池短路数据__10Ω_9,10Ω 9.xlsx,1,0,target_b1::10ω9,3,0,0,0,,1
target100__大电池短路数据__1ohmcc1,1ohmcc1.xlsx,1,0,target_b1::1ohmcc1,7,0,0,0,,1
target100__大电池短路数据__1ohmcc10,1ohmcc10.xlsx,1,0,target_b1::1ohmcc10,4,0,0,0,,1
target100__大电池短路数据__1ohmcc2,1ohmcc2.xlsx,1,0,target_b1::1ohmcc2,3,0,0,0,,1
target100__大电池短路数据__1ohmcc3,1ohmcc3.xlsx,1,0,target_b1::1ohmcc3,7,0,0,0,,1
target100__大电池短路数据__1ohmcc4,1ohmcc4.xlsx,1,0,target_b1::1ohmcc4,8,0,0,0,,1
target100__大电池短路数据__1ohmcc5,1ohmcc5.xlsx,1,0,target_b1::1ohmcc5,4,0,0,0,,1
target100__大电池短路数据__1ohmcc6,1ohmcc6.xlsx,1,0,target_b1::1ohmcc6,10,0,0,0,,1
target100__大电池短路数据__1ohmcc7,1ohmcc7.xlsx,1,0,target_b1::1ohmcc7,4,0,0,0,,1
target100__大电池短路数据__1ohmcc8,1ohmcc8.xlsx,1,0,target_b1::1ohmcc8,8,0,0,0,,1
target100__大电池短路数据__1ohmcc9,1ohmcc9.xlsx,1,0,target_b1::1ohmcc9,3,0,0,0,,1
target100__大电池短路数据__1Ω_1,1Ω 1.xlsx,1,0,target_b1::1ω1,5,0,0,0,,2
target100__大电池短路数据__1Ω_10,1Ω 10.xlsx,1,0,target_b1::1ω10,6,0,0,0,,1
target100__大电池短路数据__1Ω_1_cc,1Ω 1 cc.xlsx,1,0,target_b1::1ω1cc,6,0,0,0,,1
target100__大电池短路数据__1Ω_1_difficult,1Ω 1 difficult.xlsx,1,0,target_b1::1ω1,5,0,0,0,,2
target100__大电池短路数据__1Ω_2,1Ω 2.xlsx,1,0,target_b1::1ω2,6,0,0,0,,2
target100__大电池短路数据__1Ω_2_difficult,1Ω 2 difficult.xlsx,1,0,target_b1::1ω2,6,0,0,0,,2
target100__大电池短路数据__1Ω_3,1Ω 3.xlsx,1,0,target_b1::1ω3,7,0,0,0,,2
target100__大电池短路数据__1Ω_3_difficult,1Ω 3 difficult.xlsx,1,0,target_b1::1ω3,7,0,0,0,,2
target100__大电池短路数据__1Ω_4_difficult,1Ω 4 difficult.xlsx,1,0,target_b1::1ω4,5,0,0,0,,2
target100__大电池短路数据__1Ω_5,1Ω 5.xlsx,1,0,target_b1::1ω5,3,0,0,0,,2
target100__大电池短路数据__1Ω_5_difficult,1Ω 5 difficult.xlsx,1,0,target_b1::1ω5,3,0,0,0,,2
target100__大电池短路数据__1Ω_6,1Ω 6.xlsx,1,0,target_b1::1ω6,3,0,0,0,,2
target100__大电池短路数据__1Ω_6_difficult,1Ω 6 difficult.xlsx,1,0,target_b1::1ω6,3,0,0,0,,2
target100__大电池短路数据__1Ω_7,1Ω 7.xlsx,1,0,target_b1::1ω7,3,0,0,0,,2
target100__大电池短路数据__1Ω_7_difficult,1Ω 7 difficult.xlsx,1,0,target_b1::1ω7,3,0,0,0,,2
target100__大电池短路数据__1Ω_8_difficult,1Ω 8 difficult.xlsx,1,0,target_b1::1ω8,9,0,0,0,,2
target100__大电池短路数据__normal_1,normal 1.xlsx,0,0,target_b0::normal_1,4,0,0,0,0.0,2
target100__大电池短路数据__normal_10_difficult,normal 10 difficult.xlsx,0,1,target_b0::normal_10,4,0,0,0,0.0,2
target100__大电池短路数据__normal_11,normal 11.xlsx,0,0,target_b0::normal_11,7,0,0,0,0.0,2
target100__大电池短路数据__normal_12,normal 12.xlsx,0,0,target_b0::normal_12,7,0,0,0,0.0,2
target100__大电池短路数据__normal_12_difficult,normal 12 difficult.xlsx,0,1,target_b0::normal_12,7,0,0,0,0.0,2
target100__大电池短路数据__normal_13,normal 13.xlsx,0,0,target_b0::normal_13,6,0,0,0,0.0,2
target100__大电池短路数据__normal_13_difficult,normal 13 difficult.xlsx,0,1,target_b0::normal_13,6,0,0,0,0.0,2
target100__大电池短路数据__normal_14_difficult,normal 14 difficult.xlsx,0,1,target_b0::normal_14,2,0,0,0,0.0,2
target100__大电池短路数据__normal_15,normal 15.xlsx,0,0,target_b0::normal_15,5,0,0,0,0.0,2
target100__大电池短路数据__normal_15_difficult,normal 15 difficult.xlsx,0,1,target_b0::normal_15,5,0,0,0,0.0,2
target100__大电池短路数据__normal_16,normal 16.xlsx,0,0,target_b0::normal_16,7,0,0,0,0.0,1
target100__大电池短路数据__normal_3_difficult,normal 3 difficult.xlsx,0,1,target_b0::normal_3,9,0,0,0,0.0,2
target100__大电池短路数据__normal_4_difficult,normal 4 difficult.xlsx,0,1,target_b0::normal_4,11,0,0,0,0.0,2
target100__大电池短路数据__normal_5,normal 5.xlsx,0,0,target_b0::normal_5,3,0,0,0,0.0,2
target100__大电池短路数据__normal_5_difficult,normal 5 difficult.xlsx,0,1,target_b0::normal_5,3,0,0,0,0.0,2
target100__大电池短路数据__normal_6,normal 6.xlsx,0,0,target_b0::normal_6,4,0,0,0,0.0,2
target100__大电池短路数据__normal_7,normal 7.xlsx,0,0,target_b0::normal_7,4,0,0,0,0.0,2
target100__大电池短路数据__normal_7_difficult,normal 7 difficult.xlsx,0,1,target_b0::normal_7,4,0,0,0,0.0,2
target100__大电池短路数据__normal_8,normal 8.xlsx,0,0,target_b0::normal_8,5,0,0,0,0.0,2
target100__大电池短路数据__normal_8_difficult,normal 8 difficult.xlsx,0,1,target_b0::normal_8,5,0,0,0,0.0,2
target100__大电池短路数据__normal_9,normal 9.xlsx,0,0,target_b0::normal_9,7,0,0,0,0.0,2
target100__大电池短路数据__normal_9_difficult,normal 9 difficult.xlsx,0,1,target_b0::normal_9,7,0,0,0,0.0,2
