seed,variant,alpha,mode,base_margin,adder,margin
33,q95_alpha0.10_add0.020,0.1,q95,0.0,0.02,0.02
33,q95_alpha0.10_add0.030,0.1,q95,0.0,0.03,0.03
33,q95_alpha0.10_add0.050,0.1,q95,0.0,0.05,0.05
33,q95_alpha0.10_add0.080,0.1,q95,0.0,0.08,0.08
33,conformal_alpha0.10_add0.000,0.1,conformal,0.0,0.0,0.0
33,conformal_alpha0.10_add0.005,0.1,conformal,0.0,0.005,0.005
33,conformal_alpha0.10_add0.010,0.1,conformal,0.0,0.01,0.01
33,conformal_alpha0.10_add0.020,0.1,conformal,0.0,0.02,0.02
33,conformal_alpha0.10_add0.030,0.1,conformal,0.0,0.03,0.03
33,conformal_alpha0.10_add0.050,0.1,conformal,0.0,0.05,0.05
33,conformal_alpha0.10_add0.080,0.1,conformal,0.0,0.08,0.08
